Name,X,Y,Z
BRO_422,488392.474,5148159.655,0
BRO_362,488347.474,5148234.655,0
BRO_384,488362.474,5148204.655,0
BRO_421,488377.474,5148159.655,0
BRO_395,488362.474,5148189.655,0
BRO_449,488467.474,5148129.655,0
BRO_450,488482.474,5148129.655,0
BRO_396,488377.474,5148189.655,0
BRO_416,488497.474,5148174.655,0
BRO_363,488362.474,5148234.655,0
BRO_456,488437.474,5148114.655,0
BRO_409,488392.474,5148174.655,0
BRO_423,488407.474,5148159.655,0
BRO_436,488422.474,5148144.655,0
BRO_408,488377.474,5148174.655,0
BRO_440,488482.474,5148144.655,0
BRO_430,488512.474,5148159.655,0
BRO_441,488497.474,5148144.655,0
BRO_429,488497.474,5148159.655,0
BRO_373,488362.474,5148219.655,0
BRO_372,488347.474,5148219.655,0
NT-MW27-12,488148,5148282,-0.2
NT-MW27-6,488148,5148282,-0.2
NT-MW14-15,489170,5148719,-0.31
CT34-2,487752,5147672,-0.64
BH-DAM3-01,488321,5148147,-0.9
NT-MW4-24,487631,5147318,-1.4
NT-MW3-5,487628,5147213,-1.46
NT-MW4-44,487631,5147316,-1.47
CN-MW22-6,485590,5147058,-1.54
BH-DAM3-05,488020,5148058,-1.58
BH-DAM3-04,488103,5148116,-1.59
NN-MW7-25,489030,5149002,-1.79
NT-MW3-18,487629,5147216,-2.36
NM-S-70(A&,490301,5148622,-2.36
NT-MW3-9,487629,5147218,-2.43
NT-MW1-32,487462,5147050,-2.5
NT-MW9-14,488207,5148248,-2.66
NT-MW9-8,488205,5148248,-2.7
CN-MW27-6,485225,5146800,-3.05
NM-S-5,490304,5148625,-3.28
NT-MW15-8,489316,5148655,-3.74
NT-MW9-26,488210,5148247,-3.77
NT-MW15-5,489313,5148656,-3.79
NN-MW7-8,489031,5149004,-3.8
NT-MW15-41,489313,5148653,-3.86
NT-MW26-15,488177,5148286,-4.37
NT-TW3,488153,5148270,-4.9
NT-MW1-43,489171,5148716,-5.5
